ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
집사람	t͡ɕ i p s͈ a̠ ɾ a̠ m	집싸람
집안	t͡ɕ i b a̠ n	지반
집어넣다	t͡ɕ i b ʌ̹ n ʌ̹ tʰ a̠	지버너타
집중	t͡ɕ i p̚ t͡ɕ͈ u ŋ	집쭝
집중되다	t͡ɕ i p̚ t͡ɕ͈ u ŋ d w e̞ d a̠	집쭝되다
집쥐	t͡ɕ i p̚ t͡ɕ͈ ɥ i	집쮜
집토끼	t͡ɕ i p̚ tʰ o̞ k͈ i	집토끼
집필	t͡ɕ i p̚ pʰ i ɭ	집필
집합	t͡ɕ i pʰ a̠ p̚	지팝
집회	t͡ɕ i pʰ w e̞	지푀
짓다	t͡ɕ iː t̚ t͈ a̠	짇따
징계	t͡ɕ i ŋ ɡ j e̞	징계
징병	t͡ɕ i ŋ b j ʌ̹ ŋ	징병
짙다	t͡ɕ i t̚ t͈ a̠	짇따
짙푸르다	t͡ɕ i t̚ pʰ u ɾ ɯ d a̠	짇푸르다
짚다	t͡ɕ i p̚ t͈ a̠	집따
짜다	t͡ɕ͈ a̠ d a̠	짜다
짜리	t͡ɕ͈ a̠ ɾ i	짜리
짜릿하다	t͡ɕ͈ a̠ ɾ i tʰ a̠ d a̠	짜리타다
짜장면	t͡ɕ͈ a̠ d͡ʑ a̠ ŋ m j ʌ̹ n	짜장면
짜하다	t͡ɕ͈ a̠ː ɦ a̠ d a̠	짜하다
짝사랑	t͡ɕ͈ a̠ k s͈ a̠ ɾ a̠ ŋ	짝싸랑
짝짓기	t͡ɕ͈ a̠ k̚ t͡ɕ͈ i t̚ k͈ i	짝찓끼
짠하다	t͡ɕ͈ a̠ː n ɦ a̠ d a̠	짠하다
짧다	t͡ɕ͈ a̠ ɭ t͈ a̠	짤따
짬뽕	t͡ɕ͈ a̠ m p͈ o̞ ŋ	짬뽕
짭짤하다	t͡ɕ͈ a̠ p̚ t͡ɕ͈ a̠ ɾ ɦ a̠ d a̠	짭짤하다
쩨마	t͡ɕ͈ e̞ m a̠	쩨마
쪼다	t͡ɕ͈ o̞ d a̠	쪼다
쪽발이	t͡ɕ͈ o̞ k̚ p͈ a̠ ɾ i	쪽빠리
쫄면	t͡ɕ͈ o̞ ɭ m j ʌ̹ n	쫄면
쫓기다	t͡ɕ͈ o̞ t̚ k͈ i d a̠	쫃끼다
쫓다	t͡ɕ͈ o̞ t̚ t͈ a̠	쫃따
쯔놈	t͡ɕ͈ ɯ n o̞ m	쯔놈
찌꺼기	t͡ɕ͈ i k͈ ʌ̹ ɡ i	찌꺼기
찌르다	t͡ɕ͈ i ɾ ɯ d a̠	찌르다
찌창	t͡ɕ͈ i t͡ɕʰ a̠ ŋ	찌창
찍소리	t͡ɕ͈ i k s͈ o̞ ɾ i	찍쏘리
찐만두	t͡ɕ͈ i n m a̠ n d u	찐만두
찐빵	t͡ɕ͈ i n p͈ a̠ ŋ	찐빵
찜질방	t͡ɕ͈ i m d͡ʑ i ɭ b a̠ ŋ	찜질방
차갑다	t͡ɕʰ a̠ ɡ a̠ p̚ t͈ a̠	차갑따
차고	t͡ɕʰ a̠ ɡ o̞	차고
차단	t͡ɕʰ a̠ː d a̠ n	차단
차드	t͡ɕʰ a̠ d ɯ	차드
차라리	t͡ɕʰ a̠ ɾ a̠ ɾ i	차라리
차량	t͡ɕʰ a̠ ɾ j a̠ ŋ	차량
차례	t͡ɕʰ a̠ ɾ j e̞	차례
차림	t͡ɕʰ a̠ ɾ i m	차림
차림표	t͡ɕʰ a̠ ɾ i m pʰ j o	차림표
차마	t͡ɕʰ a̠ m a̠	차마
차마당	t͡ɕʰ a̠ m a̠ d a̠ ŋ	차마당
차별	t͡ɕʰ a̠ b j ʌ̹ ɭ	차별
차이	t͡ɕʰ a̠ i	차이
차이나타운	t͡ɕʰ a̠ i n a̠ tʰ a̠ u n	차이나타운
차이니스	t͡ɕʰ a̠ i n i sʰ ɯ	차이니스
차이다	t͡ɕʰ a̠ i d a̠	차이다
차장	t͡ɕʰ a̠ d͡ʑ a̠ ŋ	차장
차지하다	t͡ɕʰ a̠ d͡ʑ i ɦ a̠ d a̠	차지하다
차질	t͡ɕʰ a̠ d͡ʑ i ɭ	차질
차츰	t͡ɕʰ a̠ t͡ɕʰ ɯ m	차츰
차트	t͡ɕʰ a̠ tʰ ɯ	차트
착각	t͡ɕʰ a̠ k̚ k͈ a̠ k̚	착깍
착공	t͡ɕʰ a̠ k̚ k͈ o̞ ŋ	착꽁
착석	t͡ɕʰ a̠ k s͈ ʌ̹ k̚	착썩
착용하다	t͡ɕʰ a̠ ɡ j o ŋ ɦ a̠ d a̠	차굥하다
착하다	t͡ɕʰ a̠ kʰ a̠ d a̠	차카다
찬가	t͡ɕʰ a̠ː n ɡ a̠	찬가
찬사	t͡ɕʰ a̠ː n sʰ a̠	찬사
찬스	t͡ɕʰ a̠ n sʰ ɯ	찬스
찬장	t͡ɕʰ a̠ː ɲ d͡ʑ a̠ ŋ	찬장
찰나	t͡ɕʰ a̠ ɭ ɭ a̠	찰라
찰스	t͡ɕʰ a̠ ɭ sʰ ɯ	찰스
찰흙	t͡ɕʰ a̠ ɾ ɣ ɯ k̚	찰ɣㅡㄱ
참가자	t͡ɕʰ a̠ m ɡ a̠ d͡ʑ a̠	참가자
참고	t͡ɕʰ a̠ m ɡ o̞	참고
참기름	t͡ɕʰ a̠ m ɡ i ɾ ɯ m	참기름
참다	t͡ɕʰ a̠ː m t͈ a̠	참따
참되다	t͡ɕʰ a̠ m t͈ w e̞ d a̠	참뙤다
참말	t͡ɕʰ a̠ m m a̠ ɭ	참말
참모장	t͡ɕʰ a̠ː m m o̞ d͡ʑ a̠ ŋ	참모장
참붕어	t͡ɕʰ a̠ m b u ŋ ʌ̹	참부어
참사	t͡ɕʰ a̠ m sʰ a̠	참사
참석하다	t͡ɕʰ a̠ m sʰ ʌ̹ kʰ a̠ d a̠	참서카다
참수리	t͡ɕʰ a̠ m sʰ u ɾ i	참수리
참여	t͡ɕʰ a̠ m j ʌ̹	차며
참외	t͡ɕʰ a̠ m w e̞	차뫼
참을성	t͡ɕʰ a̠ m ɯ ɭ sʰ ʌ̹ ŋ	차믈성
참전	t͡ɕʰ a̠ m d͡ʑ ʌ̹ n	참전
참조하다	t͡ɕʰ a̠ m d͡ʑ o̞ ɦ a̠ d a̠	참조하다
참중고기	t͡ɕʰ a̠ m d͡ʑ u ŋ ɡ o̞ ɡ i	참중고기
참회	t͡ɕʰ a̠ m β w e̞	참회
찻집	t͡ɕʰ a̠ t̚ t͡ɕ͈ i p̚	찯찝
창궐	t͡ɕʰ a̠ ŋ ɡ w ʌ̹ ɭ	창궐
창문	t͡ɕʰ a̠ ŋ m u n	창문
창설	t͡ɕʰ a̠ː ŋ sʰ ʌ̹ ɭ	창설
창세기	t͡ɕʰ a̠ː ŋ sʰ e̞ ɡ i	창세기
창업	t͡ɕʰ a̠ː ŋ ʌ̹ p̚	차업
창원	t͡ɕʰ a̠ ŋ w ʌ̹ n	차원
창자	t͡ɕʰ a̠ ŋ d͡ʑ a̠	창자
창작	t͡ɕʰ a̠ ŋ d͡ʑ a̠ k̚	창작
창제	t͡ɕʰ a̠ː ŋ d͡ʑ e̞	창제
창조	t͡ɕʰ a̠ː ŋ d͡ʑ o̞	창조
창조자	t͡ɕʰ a̠ː ŋ d͡ʑ o̞ d͡ʑ a̠	창조자
창조적	t͡ɕʰ a̠ː ŋ d͡ʑ o̞ d͡ʑ ʌ̹ k̚	창조적
창조하다	t͡ɕʰ a̠ː ŋ d͡ʑ o̞ ɦ a̠ d a̠	창조하다
창턱	t͡ɕʰ a̠ ŋ tʰ ʌ̹ k̚	창턱
찾다	t͡ɕʰ a̠ t̚ t͈ a̠	찯따
찾아가다	t͡ɕʰ a̠ d͡ʑ a̠ ɡ a̠ d a̠	차자가다
찾아보다	t͡ɕʰ a̠ d͡ʑ a̠ b o̞ d a̠	차자보다
찾아오다	t͡ɕʰ a̠ d͡ʑ a̠ o̞ d a̠	차자오다
채소	t͡ɕʰ ɛː sʰ o̞	채소
채소밭	t͡ɕʰ ɛː sʰ o̞ b a̠ t̚	채소받
채식주의	t͡ɕʰ ɛː ɕʰ i k̚ t͡ɕ͈ u ɰ i	채식쭈의
채식주의자	t͡ɕʰ ɛː ɕʰ i k̚ t͡ɕ͈ u ɰ i d͡ʑ a̠	채식쭈의자
채용하다	t͡ɕʰ ɛː j o ŋ ɦ a̠ d a̠	채용하다
처가	t͡ɕʰ ʌ̹ ɡ a̠	처가
처남	t͡ɕʰ ʌ̹ n a̠ m	처남
처녀	t͡ɕʰ ɘː ɲ j ʌ̹	처녀
처녀막	t͡ɕʰ ɘː ɲ j ʌ̹ m a̠ k̚	처녀막
처럼	t͡ɕʰ ʌ̹ ɾ ʌ̹ m	처럼
처리	t͡ɕʰ ɘː ɾ i	처리
처방	t͡ɕʰ ʌ̹ b a̠ ŋ	처방
처방전	t͡ɕʰ ɘː b a̠ ŋ d͡ʑ ʌ̹ n	처방전
처벌	t͡ɕʰ ɘː b ʌ̹ ɭ	처벌
처신	t͡ɕʰ ɘː ɕʰ i n	처신
처음	t͡ɕʰ ʌ̹ ɯ m	처음
처지	t͡ɕʰ ɘː d͡ʑ i	처지
척결	t͡ɕʰ ʌ̹ k̚ k͈ j ʌ̹ ɭ	척껼
척수	t͡ɕʰ ʌ̹ k s͈ u	척쑤
척추	t͡ɕʰ ʌ̹ k̚ t͡ɕʰ u	척추
척추동물	t͡ɕʰ ʌ̹ k̚ t͡ɕʰ u d o̞ ŋ m u ɭ	척추동물
천국	t͡ɕʰ ʌ̹ n ɡ u k̚	천국
천당	t͡ɕʰ ʌ̹ n d a̠ ŋ	천당
천도	t͡ɕʰ ɘː n d o̞	천도
천둥	t͡ɕʰ ʌ̹ n d u ŋ	천둥
천리마	t͡ɕʰ ʌ̹ ʎ ʎ i m a̠	철리마
천리안	t͡ɕʰ ʌ̹ ʎ ʎ i a̠ n	철리안
천만	t͡ɕʰ ʌ̹ n m a̠ n	천만
천만에요	t͡ɕʰ ʌ̹ n m a̠ n e̞ j o	천마네요
천부적	t͡ɕʰ ʌ̹ n b u d͡ʑ ʌ̹ k̚	천부적
천사	t͡ɕʰ ʌ̹ n sʰ a̠	천사
천성	t͡ɕʰ ʌ̹ n sʰ ʌ̹ ŋ	천성
천안문	t͡ɕʰ ʌ̹ n a̠ n m u n	처난문
천왕성	t͡ɕʰ ʌ̹ n w a̠ ŋ sʰ ʌ̹ ŋ	처놩성
천자문	t͡ɕʰ ʌ̹ ɲ d͡ʑ a̠ m u n	천자문
천장	t͡ɕʰ ʌ̹ ɲ d͡ʑ a̠ ŋ	천장
천제	t͡ɕʰ ʌ̹ ɲ d͡ʑ e̞	천제
천조국	t͡ɕʰ ʌ̹ ɲ d͡ʑ o̞ ɡ u k̚	천조국
천주교	t͡ɕʰ ʌ̹ ɲ d͡ʑ u ɡ j o	천주교
천지	t͡ɕʰ ʌ̹ ɲ d͡ʑ i	천지
천지인	t͡ɕʰ ʌ̹ ɲ d͡ʑ i i n	천지인
천천히	t͡ɕʰ ɘː ɲ t͡ɕʰ ʌ̹ n ʝ i	천천히
천체	t͡ɕʰ ʌ̹ ɲ t͡ɕʰ e̞	천체
천하	t͡ɕʰ ʌ̹ n ɦ a̠	천하
천황	t͡ɕʰ ʌ̹ n β w a̠ ŋ	천황
철갑	t͡ɕʰ ʌ̹ ɭ ɡ a̠ p̚	철갑
철도	t͡ɕʰ ʌ̹ ɭ t͈ o̞	철또
철밥통	t͡ɕʰ ʌ̹ ɭ b a̠ p̚ tʰ o̞ ŋ	철밥통
철부지	t͡ɕʰ ʌ̹ ɭ b u d͡ʑ i	철부지
철자법	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ a̠ p͈ ʌ̹ p̚	철짜뻡
철저하다	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ ʌ̹ ɦ a̠ d a̠	철쩌하다
철저히	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ ʌ̹ ʝ i	철쩌히
철쭉	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ u k̚	철쭉
철퇴	t͡ɕʰ ʌ̹ ɭ tʰ w e̞	철퇴
철판	t͡ɕʰ ʌ̹ ɭ pʰ a̠ n	철판
철폐	t͡ɕʰ ʌ̹ ɭ pʰ j e̞	철폐
철학	t͡ɕʰ ʌ̹ ɾ ɦ a̠ k̚	철학
첫날	t͡ɕʰ ʌ̹ n n a̠ ɭ	천날
첫눈	t͡ɕʰ ʌ̹ n n u n	천눈
첫차	t͡ɕʰ ʌ̹ t̚ t͡ɕʰ a̠	첟차
청각	t͡ɕʰ ʌ̹ ŋ ɡ a̠ k̚	청각
청결	t͡ɕʰ ʌ̹ ŋ ɡ j ʌ̹ ɭ	청결
청국장	t͡ɕʰ ʌ̹ ŋ ɡ u k̚ t͡ɕ͈ a̠ ŋ	청국짱
청남방	t͡ɕʰ ʌ̹ ŋ n a̠ m b a̠ ŋ	청남방
청년	t͡ɕʰ ʌ̹ ŋ ɲ j ʌ̹ n	청년
청동	t͡ɕʰ ʌ̹ ŋ d o̞ ŋ	청동
청둥오리	t͡ɕʰ ʌ̹ ŋ d u ŋ o̞ ɾ i	청두오리
청량음료	t͡ɕʰ ʌ̹ ŋ ɲ j a̠ ŋ ɯ m ɲ j o	청냐음뇨
청바지	t͡ɕʰ ʌ̹ ŋ b a̠ d͡ʑ i	청바지
청소	t͡ɕʰ ʌ̹ ŋ sʰ o̞	청소
청소년	t͡ɕʰ ʌ̹ ŋ sʰ o̞ ɲ j ʌ̹ n	청소년
청순	t͡ɕʰ ʌ̹ ŋ sʰ u n	청순
청진	t͡ɕʰ ʌ̹ ŋ d͡ʑ i n	청진
청천벽력	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ ʌ̹ n b j ʌ̹ ŋ ɲ j ʌ̹ k̚	청천병녁
청첩장	t͡ɕʰ ɘː ŋ t͡ɕʰ ʌ̹ p̚ t͡ɕ͈ a̠ ŋ	청첩짱
청초하다	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ o̞ ɦ a̠ d a̠	청초하다
청춘	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ u n	청춘
청탁	t͡ɕʰ ʌ̹ ŋ tʰ a̠ k̚	청탁
체결	t͡ɕʰ e̞ ɡ j ʌ̹ ɭ	체결
체구	t͡ɕʰ e̞ ɡ u	체구
체념	t͡ɕʰ e̞ ɲ j ʌ̹ m	체념
체력	t͡ɕʰ e̞ ɾ j ʌ̹ k̚	체력
체르노빌	t͡ɕʰ e̞ ɾ ɯ n o̞ b i ɭ	체르노빌
체리	t͡ɕʰ e̞ ɾ i	체리
체면	t͡ɕʰ e̞ m j ʌ̹ n	체면
체스	t͡ɕʰ e̞ sʰ ɯ	체스
체스꼬슬로벤스꼬	t͡ɕʰ e̞ sʰ ɯ k͈ o̞ sʰ ɯ ɭ ɭ o̞ b e̞ n sʰ ɯ k͈ o̞	체스꼬슬로벤스꼬
체온계	t͡ɕʰ e̞ o̞ n ɡ j e̞	체온계
체육	t͡ɕʰ e̞ j u k̚	체육
체육관	t͡ɕʰ e̞ j u k̚ k͈ w a̠ n	체육꽌
체인	t͡ɕʰ e̞ i n	체인
체제	t͡ɕʰ e̞ d͡ʑ e̞	체제
체중	t͡ɕʰ e̞ d͡ʑ u ŋ	체중
체질	t͡ɕʰ e̞ d͡ʑ i ɭ	체질
체커	t͡ɕʰ e̞ kʰ ʌ̹	체커
체코	t͡ɕʰ e̞ kʰ o̞	체코
체포	t͡ɕʰ e̞ pʰ o̞	체포
체험	t͡ɕʰ e̞ ɦ ʌ̹ m	체험
쳐죽이다	t͡ɕʰ ʌ̹ d͡ʑ u ɡ i d a̠	처주기다
초고속	t͡ɕʰ o̞ ɡ o̞ sʰ o̞ k̚	초고속
초고추장	t͡ɕʰ o̞ ɡ o̞ t͡ɕʰ u d͡ʑ a̠ ŋ	초고추장
초능력	t͡ɕʰ o̞ n ɯ ŋ ɲ j ʌ̹ k̚	초능녁
초등학교	t͡ɕʰ o̞ d ɯ ŋ ɦ a̠ k̚ k͈ j o	초등학꾜
초딩	t͡ɕʰ o̞ d i ŋ	초딩
초로	t͡ɕʰ o̞ ɾ o̞	초로
초록빛	t͡ɕʰ o̞ ɾ o̞ k̚ p͈ i t̚	초록삗
초반	t͡ɕʰ o̞ b a̠ n	초반
초밥	t͡ɕʰ o̞ b a̠ p̚	초밥
초순	t͡ɕʰ o̞ sʰ u n	초순
초승달	t͡ɕʰ o̞ sʰ ɯ ŋ t͈ a̠ ɭ	초승딸
초원	t͡ɕʰ o̞ w ʌ̹ n	초원
초유	t͡ɕʰ o̞ j u	초유
초음파	t͡ɕʰ o̞ ɯ m pʰ a̠	초음파
초인	t͡ɕʰ o̞ i n	초인
초자연적	t͡ɕʰ o̞ d͡ʑ a̠ j ʌ̹ ɲ d͡ʑ ʌ̹ k̚	초자연적
초점	t͡ɕʰ o̞ t͡ɕ͈ ʌ̹ m	초쩜
초지	t͡ɕʰ o̞ d͡ʑ i	초지
초콜렛	t͡ɕʰ o̞ kʰ o̞ ɭ ɭ e̞ t̚	초콜렏
초콜릿	t͡ɕʰ o̞ kʰ o̞ ʎ ʎ i t̚	초콜릳
초특급	t͡ɕʰ o̞ tʰ ɯ k̚ k͈ ɯ p̚	초특끕
초판	t͡ɕʰ o̞ pʰ a̠ n	초판
초하루	t͡ɕʰ o̞ ɦ a̠ ɾ u	초하루
초혼	t͡ɕʰ o̞ β o̞ n	초혼
촉각	t͡ɕʰ o̞ k̚ k͈ a̠ k̚	촉깍
촉법소년	t͡ɕʰ o̞ k̚ p͈ ʌ̹ p s͈ o̞ ɲ j ʌ̹ n	촉뻡쏘년
촉수	t͡ɕʰ o̞ k s͈ u	촉쑤
촌극	t͡ɕʰ o̞ː n ɡ ɯ k̚	촌극
촌놈	t͡ɕʰ o̞ n n o̞ m	촌놈
촌락	t͡ɕʰ o̞ː ɭ ɭ a̠ k̚	촐락
총각	t͡ɕʰ o̞ː ŋ ɡ a̠ k̚	총각
총명	t͡ɕʰ o̞ ŋ m j ʌ̹ ŋ	총명
총서	t͡ɕʰ o̞ ŋ sʰ ʌ̹	총서
총영사관	t͡ɕʰ o̞ ŋ j ʌ̹ ŋ sʰ a̠ ɡ w a̠ n	초영사관
총장	t͡ɕʰ o̞ː ŋ d͡ʑ a̠ ŋ	총장
총체적	t͡ɕʰ o̞ ŋ t͡ɕʰ e̞ d͡ʑ ʌ̹ k̚	총체적
총총	t͡ɕʰ o̞ ŋ t͡ɕʰ o̞ ŋ	총총
총통	t͡ɕʰ o̞ː ŋ tʰ o̞ ŋ	총통
총화	t͡ɕʰ o̞ ŋ β w a̠	총화
촬영	t͡ɕʰ w a̠ ɾ j ʌ̹ ŋ	촤령
최강	t͡ɕʰ w e̞ː ɡ a̠ ŋ	최강
최근	t͡ɕʰ w e̞ː ɡ ɯ n	최근
최상급	t͡ɕʰ w e̞ː sʰ a̠ ŋ ɡ ɯ p̚	최상급
최선	t͡ɕʰ w e̞ː sʰ ʌ̹ n	최선
최소한	t͡ɕʰ w e̞ː sʰ o̞ ɦ a̠ n	최소한
최종	t͡ɕʰ w e̞ː d͡ʑ o̞ ŋ	최종
최초	t͡ɕʰ w e̞ː t͡ɕʰ o̞	최초
추가	t͡ɕʰ u ɡ a̠	추가
추격	t͡ɕʰ u ɡ j ʌ̹ k̚	추격
추구	t͡ɕʰ u ɡ u	추구
추구하다	t͡ɕʰ u ɡ u ɦ a̠ d a̠	추구하다
추락	t͡ɕʰ u ɾ a̠ k̚	추락
추리닝	t͡ɕʰ u ɾ i n i ŋ	추리닝
추밀원	t͡ɕʰ u m i ɾ w ʌ̹ n	추미뤈
추방	t͡ɕʰ u b a̠ ŋ	추방
추석	t͡ɕʰ u sʰ ʌ̹ k̚	추석
추수	t͡ɕʰ u sʰ u	추수
추악하다	t͡ɕʰ u a̠ kʰ a̠ d a̠	추아카다
추억	t͡ɕʰ u ʌ̹ k̚	추억
추위	t͡ɕʰ u ɥ i	추위
추적하다	t͡ɕʰ u d͡ʑ ʌ̹ kʰ a̠ d a̠	추저카다
추진	t͡ɕʰ u d͡ʑ i n	추진
추진하다	t͡ɕʰ u d͡ʑ i n ɦ a̠ d a̠	추진하다
추천하다	t͡ɕʰ u t͡ɕʰ ʌ̹ n ɦ a̠ d a̠	추천하다
추출	t͡ɕʰ u t͡ɕʰ u ɭ	추출
추출물	t͡ɕʰ u t͡ɕʰ u ɭ m u ɭ	추출물
추측	t͡ɕʰ u t͡ɕʰ ɯ k̚	추측
축복	t͡ɕʰ u k̚ p͈ o̞ k̚	축뽁
축사	t͡ɕʰ u k s͈ a̠	축싸
축소	t͡ɕʰ u k s͈ o̞	축쏘
축음기	t͡ɕʰ u ɡ ɯ m ɡ i	추금기
축제	t͡ɕʰ u k̚ t͡ɕ͈ e̞	축쩨
축척	t͡ɕʰ u k̚ t͡ɕʰ ʌ̹ k̚	축척
축하	t͡ɕʰ u kʰ a̠	추카
춘하추동	t͡ɕʰ u n ɦ a̠ t͡ɕʰ u d o̞ ŋ	춘하추동
출구	t͡ɕʰ u ɭ ɡ u	출구
출근	t͡ɕʰ u ɭ ɡ ɯ n	출근
출근시간	t͡ɕʰ u ɭ ɡ ɯ n ɕʰ i ɡ a̠ n	출근시간
출근하다	t͡ɕʰ u ɭ ɡ ɯ n ɦ a̠ d a̠	출근하다
출금	t͡ɕʰ u ɭ ɡ ɯ m	출금
출발하다	t͡ɕʰ u ɭ b a̠ ɾ ɦ a̠ d a̠	출발하다
출산	t͡ɕʰ u ɭ s͈ a̠ n	출싼
출산율	t͡ɕʰ u ɭ sʰ a̠ ɲ j u ɭ	출사뉼
출석	t͡ɕʰ u ɭ s͈ ʌ̹ k̚	출썩
출신	t͡ɕʰ u ɭ ɕ͈ i n	출씬
출신성분	t͡ɕʰ u ɭ ɕ͈ i n sʰ ʌ̹ ŋ b u n	출씬성분
출연	t͡ɕʰ u ɾ j ʌ̹ n	추련
출원자	t͡ɕʰ u ɾ w ʌ̹ ɲ d͡ʑ a̠	추뤈자
출전	t͡ɕʰ u ʎ d͡ʑ ʌ̹ n	출전
출출하다	t͡ɕʰ u ʎ t͡ɕʰ u ɾ ɦ a̠ d a̠	출출하다
출퇴근하다	t͡ɕʰ u ɭ tʰ w e̞ ɡ ɯ n ɦ a̠ d a̠	출퇴근하다
출판사	t͡ɕʰ u ɭ pʰ a̠ n sʰ a̠	출판사
출판하다	t͡ɕʰ u ɭ pʰ a̠ n ɦ a̠ d a̠	출판하다
출혈	t͡ɕʰ u ɾ ʝ j ʌ̹ ɭ	출혈
춤꾼	t͡ɕʰ u m k͈ u n	춤꾼
춤추다	t͡ɕʰ u m t͡ɕʰ u d a̠	춤추다
춥다	t͡ɕʰ u p̚ t͈ a̠	춥따
충격	t͡ɕʰ u ŋ ɡ j ʌ̹ k̚	충격
충고	t͡ɕʰ u ŋ ɡ o̞	충고
충돌	t͡ɕʰ u ŋ d o̞ ɭ	충돌
충분하다	t͡ɕʰ u ŋ b u n ɦ a̠ d a̠	충분하다
충분히	t͡ɕʰ u ŋ b u n ʝ i	충분히
충성	t͡ɕʰ u ŋ sʰ ʌ̹ ŋ	충성
충수	t͡ɕʰ u ŋ sʰ u	충수
충실하다	t͡ɕʰ u ŋ ɕʰ i ɾ ɦ a̠ d a̠	충실하다
충전기	t͡ɕʰ u ŋ d͡ʑ ʌ̹ n ɡ i	충전기
충청북도	t͡ɕʰ u ŋ t͡ɕʰ ʌ̹ ŋ b u k̚ t͈ o̞	충청북또
충충	t͡ɕʰ u ŋ t͡ɕʰ u ŋ	충충
충칭	t͡ɕʰ u ŋ t͡ɕʰ i ŋ	충칭
취급	t͡ɕʰ ɥ i ɡ ɯ p̚	취급
취나물	t͡ɕʰ ɥ i n a̠ m u ɭ	취나물
취리히	t͡ɕʰ ɥ i ɾ i ʝ i	취리히
취미	t͡ɕʰ ɥ iː m i	취미
취소	t͡ɕʰ ɥ iː sʰ o̞	취소
취직	t͡ɕʰ ɥ iː d͡ʑ i k̚	취직
취하다	t͡ɕʰ ɥ iː ɦ a̠ d a̠	취하다
취향	t͡ɕʰ ɥ iː ʝ j a̠ ŋ	취향
측위	t͡ɕʰ ɯ ɡ ɥ i	츠귀
층운	t͡ɕʰ ɯ ŋ u n	츠운
치는	t͡ɕʰ i n ɯ n	치는
치다	t͡ɕʰ i d a̠	치다
치료	t͡ɕʰ i ɾ j o	치료
치료제	t͡ɕʰ i ɾ j o d͡ʑ e̞	치료제
치르다	t͡ɕʰ i ɾ ɯ d a̠	치르다
치마	t͡ɕʰ i m a̠	치마
치아	t͡ɕʰ i a̠	치아
치안	t͡ɕʰ i a̠ n	치안
치어리더	t͡ɕʰ i ʌ̹ ɾ i d ʌ̹	치어리더
치열	t͡ɕʰ i j ʌ̹ ɭ	치열
치와와	t͡ɕʰ i w a̠ w a̠	치와와
치욕	t͡ɕʰ i j o k̚	치욕
치우	t͡ɕʰ i u	치우
치즈	t͡ɕʰ i d͡ʑ ɯ	치즈
치타	t͡ɕʰ i tʰ a̠	치타
치통	t͡ɕʰ i tʰ o̞ ŋ	치통
치한	t͡ɕʰ i ɦ a̠ n	치한
친구	t͡ɕʰ i n ɡ u	친구
친근하다	t͡ɕʰ i n ɡ ɯ n ɦ a̠ d a̠	친근하다
친밀	t͡ɕʰ i n m i ɭ	친밀
친삼촌	t͡ɕʰ i n sʰ a̠ m t͡ɕʰ o̞ n	친삼촌
친선	t͡ɕʰ i n sʰ ʌ̹ n	친선
친일파	t͡ɕʰ i n i ɭ pʰ a̠	치닐파
친절	t͡ɕʰ i ɲ d͡ʑ ʌ̹ ɭ	친절
친족	t͡ɕʰ i ɲ d͡ʑ o̞ k̚	친족
친척	t͡ɕʰ i ɲ t͡ɕʰ ʌ̹ k̚	친척
칠레	t͡ɕʰ i ɭ ɭ e̞	칠레
칠리	t͡ɕʰ i ʎ ʎ i	칠리
칠면조	t͡ɕʰ i ɭ m j ʌ̹ ɲ d͡ʑ o̞	칠면조
칠월	t͡ɕʰ i ɾ w ʌ̹ ɭ	치뤌
칠판	t͡ɕʰ i ɭ pʰ a̠ n	칠판
침공	t͡ɕʰ iː m ɡ o̞ ŋ	침공
침낭	t͡ɕʰ iː m n a̠ ŋ	침낭
침략	t͡ɕʰ iː m ɲ j a̠ k̚	침냑
침목	t͡ɕʰ i m m o̞ k̚	침목
침묵	t͡ɕʰ i m m u k̚	침묵
침묵하다	t͡ɕʰ i m m u kʰ a̠ d a̠	침무카다
침범	t͡ɕʰ iː m b ʌ̹ m	침범
침술	t͡ɕʰ i m sʰ u ɭ	침술
침실	t͡ɕʰ iː m ɕʰ i ɭ	침실
침입	t͡ɕʰ iː m i p̚	치밉
칭찬	t͡ɕʰ i ŋ t͡ɕʰ a̠ n	칭찬
칭찬하다	t͡ɕʰ i ŋ t͡ɕʰ a̠ n ɦ a̠ d a̠	칭찬하다
칭하이	t͡ɕʰ i ŋ ɦ a̠ i	칭하이
카나	kʰ a̠ n a̠	카나
카나리아	kʰ a̠ n a̠ ɾ i a̠	카나리아
카놀라유	kʰ a̠ n o̞ ɭ ɭ a̠ j u	카놀라유
카드	kʰ a̠ d ɯ	카드
카드뮴	kʰ a̠ d ɯ m j u m	카드뮴
카라치	kʰ a̠ ɾ a̠ t͡ɕʰ i	카라치
카라카스	kʰ a̠ ɾ a̠ kʰ a̠ sʰ ɯ	카라카스
카란	kʰ a̠ ɾ a̠ n	카란
카르마	kʰ a̠ ɾ ɯ m a̠	카르마
