ᆜ	j ɯ
처절	t͡ɕʰ ʌ̹ d͡ʑ ʌ̹ ɭ
척	t͡ɕʰ ʌ̹ k̚
척량	t͡ɕʰ ʌ̹ ŋ ɲ a̠ ŋ
천	t͡ɕʰ ʌ̹ n
천간	t͡ɕʰ ʌ̹ n ɡ a̠ n
천구	t͡ɕʰ ʌ̹ n ɡ u
천년기	t͡ɕʰ ʌ̹ n ɲ ʌ̹ n ɡ i
천도교	t͡ɕʰ ʌ̹ n d o̞ ɡ j o
천동설	t͡ɕʰ ʌ̹ n d o̞ ŋ sʰ ʌ̹ ɭ
천렵	t͡ɕʰ ʌ̹ ʎ ʎ ʌ̹ p̚
천명	t͡ɕʰ ʌ̹ n m j ʌ̹ ŋ
천벌	t͡ɕʰ ʌ̹ n b ʌ̹ ɭ
천부	t͡ɕʰ ʌ̹ n b u
천분	t͡ɕʰ ʌ̹ n b u n
천저	t͡ɕʰ ʌ̹ ɲ d͡ʑ ʌ̹
천정	t͡ɕʰ ʌ̹ ɲ d͡ʑ ʌ̹ ŋ
천주	t͡ɕʰ ʌ̹ ɲ d͡ʑ u
천지신명	t͡ɕʰ ʌ̹ ɲ d͡ʑ i ɕʰ i n m j ʌ̹ ŋ
천진	t͡ɕʰ ʌ̹ ɲ d͡ʑ i n
천체물리학	t͡ɕʰ ʌ̹ ɲ t͡ɕʰ e̞ m u ʎ ʎ i ɦ a̠ k̚
철	t͡ɕʰ ʌ̹ ɭ
철거	t͡ɕʰ ʌ̹ ɭ ɡ ʌ̹
철광석	t͡ɕʰ ʌ̹ ɭ ɡ w a̠ ŋ sʰ ʌ̹ k̚
철사	t͡ɕʰ ʌ̹ ɭ s͈ a̠
철수	t͡ɕʰ ʌ̹ ɭ sʰ u
철원	t͡ɕʰ ʌ̹ ɾ w ʌ̹ n
철자	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ a̠
철자하다	t͡ɕʰ ʌ̹ ʎ d͡ʑ a̠ ɦ a̠ d a̠
철제	t͡ɕʰ ʌ̹ ʎ t͡ɕ͈ e̞
철편	t͡ɕʰ ʌ̹ ɭ pʰ j ʌ̹ n
철학자	t͡ɕʰ ʌ̹ ɾ ɦ a̠ k̚ t͡ɕ͈ a̠
철회	t͡ɕʰ ʌ̹ ɾ β w e̞
첨	t͡ɕʰ ʌ̹ m
첨단	t͡ɕʰ ʌ̹ m d a̠ n
첨부하다	t͡ɕʰ ʌ̹ m b u ɦ a̠ d a̠
첩	t͡ɕʰ ʌ̹ p̚
첫	t͡ɕʰ ʌ̹ t̚
첫가끝	t͡ɕʰ ʌ̹ t̚ k͈ a̠ k͈ ɯ t̚
청	t͡ɕʰ ʌ̹ ŋ
청가시고기	t͡ɕʰ ʌ̹ ŋ ɡ a̠ ɕʰ i ɡ o̞ ɡ i
청구	t͡ɕʰ ʌ̹ ŋ ɡ u
청구서	t͡ɕʰ ʌ̹ ŋ ɡ u sʰ ʌ̹
청구하다	t͡ɕʰ ʌ̹ ŋ ɡ u ɦ a̠ d a̠
청기예보	t͡ɕʰ ʌ̹ ŋ ɡ i j e̞ b o̞
청도요	t͡ɕʰ ʌ̹ ŋ d o̞ j o
청량제	t͡ɕʰ ʌ̹ ŋ ɲ a̠ ŋ d͡ʑ e̞
청머리오리	t͡ɕʰ ʌ̹ ŋ m ʌ̹ ɾ i o̞ ɾ i
청사	t͡ɕʰ ʌ̹ ŋ sʰ a̠
청사진	t͡ɕʰ ʌ̹ ŋ sʰ a̠ d͡ʑ i n
청산가리	t͡ɕʰ ʌ̹ ŋ sʰ a̠ n ɡ a̠ ɾ i
청상아리	t͡ɕʰ ʌ̹ ŋ sʰ a̠ ŋ a̠ ɾ i
청소부	t͡ɕʰ ʌ̹ ŋ sʰ o̞ b u
청소하다	t͡ɕʰ ʌ̹ ŋ sʰ o̞ ɦ a̠ d a̠
청신	t͡ɕʰ ʌ̹ ŋ ɕʰ i n
청신하다	t͡ɕʰ ʌ̹ ŋ ɕʰ i n ɦ a̠ d a̠
청어	t͡ɕʰ ʌ̹ ŋ ʌ̹
청원	t͡ɕʰ ʌ̹ ŋ w ʌ̹ n
청주	t͡ɕʰ ʌ̹ ŋ d͡ʑ u
청진기	t͡ɕʰ ʌ̹ ŋ d͡ʑ i n ɡ i
청천	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ ʌ̹ n
청천강	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ ʌ̹ n ɡ a̠ ŋ
청취	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ ɥ i
청취력	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ ɥ i ɾ j ʌ̹ k̚
청취자	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ ɥ i d͡ʑ a̠
청취하다	t͡ɕʰ ʌ̹ ŋ t͡ɕʰ ɥ i ɦ a̠ d a̠
청하다	t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠
청혼	t͡ɕʰ ʌ̹ ŋ β o̞ n
청혼하다	t͡ɕʰ ʌ̹ ŋ β o̞ n ɦ a̠ d a̠
체	t͡ɕʰ e̞
체격	t͡ɕʰ e̞ ɡ j ʌ̹ k̚
체다카	t͡ɕʰ e̞ d a̠ kʰ a̠
체류	t͡ɕʰ e̞ ɾ j u
체벌	t͡ɕʰ e̞ b ʌ̹ ɭ
체스꼬	t͡ɕʰ e̞ sʰ ɯ k͈ o̞
체언	t͡ɕʰ e̞ ʌ̹ n
체외사정	t͡ɕʰ e̞ w e̞ sʰ a̠ d͡ʑ ʌ̹ ŋ
체용	t͡ɕʰ e̞ j o ŋ
체읍	t͡ɕʰ e̞ ɯ p̚
체읍하다	t͡ɕʰ e̞ ɯ pʰ a̠ d a̠
체적	t͡ɕʰ e̞ d͡ʑ ʌ̹ k̚
체첸어	t͡ɕʰ e̞ t͡ɕʰ e̞ n ʌ̹
체크어	t͡ɕʰ e̞ k x ɯ ʌ̹
체포하다	t͡ɕʰ e̞ pʰ o̞ ɦ a̠ d a̠
쳐	t͡ɕʰ ʌ̹
초	t͡ɕʰ o̞
초급학교	t͡ɕʰ o̞ ɡ ɯ pʰ a̠ k̚ k͈ j o
초롱	t͡ɕʰ o̞ ɾ o̞ ŋ
초롱꽃	t͡ɕʰ o̞ ɾ o̞ ŋ k͈ o̞ t̚
초마	t͡ɕʰ o̞ m a̠
초석	t͡ɕʰ o̞ sʰ ʌ̹ k̚
초심리학	t͡ɕʰ o̞ ɕʰ i m n i ɦ a̠ k̚
초어	t͡ɕʰ o̞ ʌ̹
초원수리	t͡ɕʰ o̞ w ʌ̹ n sʰ u ɾ i
초은하단	t͡ɕʰ o̞ ɯ n ɦ a̠ d a̠ n
초인종	t͡ɕʰ o̞ i ɲ d͡ʑ o̞ ŋ
초침	t͡ɕʰ o̞ t͡ɕʰ i m
초현실	t͡ɕʰ o̞ ʝ ʌ̹ n ɕʰ i ɭ
초호	t͡ɕʰ o̞ β o̞
촉	t͡ɕʰ o̞ k̚
촉지	t͡ɕʰ o̞ k̚ t͡ɕ͈ i
촌	t͡ɕʰ o̞ː n
총	t͡ɕʰ o̞ ŋ
총검	t͡ɕʰ o̞ ŋ ɡ ʌ̹ m
총구	t͡ɕʰ o̞ ŋ ɡ u
총명하다	t͡ɕʰ o̞ ŋ m j ʌ̹ ŋ ɦ a̠ d a̠
총비서	t͡ɕʰ o̞ː ŋ b i sʰ ʌ̹
총서기	t͡ɕʰ o̞ ŋ sʰ ʌ̹ ɡ i
총알열차	t͡ɕʰ o̞ ŋ a̠ ɾ j ʌ̹ ʎ t͡ɕʰ a̠
총영사	t͡ɕʰ o̞ ŋ j ʌ̹ ŋ sʰ a̠
촬	t͡ɕʰ w a̠ ɭ
최	t͡ɕʰ w e̞
최고	t͡ɕʰ w e̞ ɡ o̞
최고존엄	t͡ɕʰ w e̞ː ɡ o̞ d͡ʑ o̞ n ʌ̹ m
최다	t͡ɕʰ w e̞ː d a̠
최단	t͡ɕʰ w e̞ː d a̠ n
최면술	t͡ɕʰ w e̞ m j ʌ̹ n sʰ u ɭ
최소	t͡ɕʰ w e̞ː sʰ o̞
최장	t͡ɕʰ w e̞ː d͡ʑ a̠ ŋ
최저	t͡ɕʰ w e̞ː d͡ʑ ʌ̹
최저임금	t͡ɕʰ w e̞ d͡ʑ ʌ̹ i m ɡ ɯ m
최적	t͡ɕʰ w e̞ː d͡ʑ ʌ̹ k̚
최적화	t͡ɕʰ w e̞ː d͡ʑ ʌ̹ kʰ w a̠
최후통첩	t͡ɕʰ w e̞ː β u tʰ o̞ ŋ t͡ɕʰ ʌ̹ p̚
추모	t͡ɕʰ u m o̞
추세	t͡ɕʰ u sʰ e̞
추워지다	t͡ɕʰ u w ʌ̹ d͡ʑ i d a̠
추잡하다	t͡ɕʰ u d͡ʑ a̠ pʰ a̠ d a̠
추출하다	t͡ɕʰ u t͡ɕʰ u ɾ ɦ a̠ d a̠
추측하다	t͡ɕʰ u t͡ɕʰ ɯ kʰ a̠ d a̠
추파	t͡ɕʰ u pʰ a̠
추풍	t͡ɕʰ u pʰ u ŋ
추후	t͡ɕʰ u β u
축	t͡ɕʰ u k̚
축소하다	t͡ɕʰ u k s͈ o̞ ɦ a̠ d a̠
축일	t͡ɕʰ u ɡ i ɭ
축전기	t͡ɕʰ u k̚ t͡ɕ͈ ʌ̹ n ɡ i
축제일	t͡ɕʰ u k̚ t͡ɕ͈ e̞ i ɭ
축지법	t͡ɕʰ u k̚ t͡ɕ͈ i p͈ ʌ̹ p̚
축하하다	t͡ɕʰ u kʰ a̠ ɦ a̠ d a̠
춘	t͡ɕʰ u n
춘장	t͡ɕʰ u ɲ d͡ʑ a̠ ŋ
춘절	t͡ɕʰ u ɲ d͡ʑ ʌ̹ ɭ
춘천	t͡ɕʰ u ɲ t͡ɕʰ ʌ̹ n
출	t͡ɕʰ u ɭ
출국	t͡ɕʰ u ɭ ɡ u k̚
출납계	t͡ɕʰ u ɭ ɭ a̠ p̚ k͈ j e̞
출루율	t͡ɕʰ u ɭ ɭ u j u ɭ
출몰하다	t͡ɕʰ u ɭ m o̞ ɾ ɦ a̠ d a̠
출발지	t͡ɕʰ u ɭ b a̠ ʎ d͡ʑ i
출석하다	t͡ɕʰ u ɭ sʰ ʌ̹ kʰ a̠ d a̠
출판물	t͡ɕʰ u ɭ pʰ a̠ n m u ɭ
춤	t͡ɕʰ u m
충	t͡ɕʰ u ŋ
충고하다	t͡ɕʰ u ŋ ɡ o̞ ɦ a̠ d a̠
충돌하다	t͡ɕʰ u ŋ d o̞ ɾ ɦ a̠ d a̠
충실	t͡ɕʰ u ŋ ɕʰ i ɭ
충심	t͡ɕʰ u ŋ ɕʰ i m
충전하다	t͡ɕʰ u ŋ d͡ʑ ʌ̹ n ɦ a̠ d a̠
충청도	t͡ɕʰ u ŋ t͡ɕʰ ʌ̹ ŋ d o̞
충치	t͡ɕʰ u ŋ t͡ɕʰ i
췌장	t͡ɕʰ w e̞ː d͡ʑ a̠ ŋ
취득하다	t͡ɕʰ ɥ iː d ɯ kʰ a̠ d a̠
취소하다	t͡ɕʰ ɥ iː sʰ o̞ ɦ a̠ d a̠
취임	t͡ɕʰ ɥ iː i m
취체	t͡ɕʰ ɥ iː t͡ɕʰ e̞
취흥	t͡ɕʰ ɥ iː ɣ ɯ ŋ
츄잉껌	t͡ɕʰ u i ŋ k͈ ʌ̹ m
측	t͡ɕʰ ɯ k̚
측력계	t͡ɕʰ ɯ ŋ ɲ ʌ̹ k̚ k͈ j e̞
측은	t͡ɕʰ ɯ ɡ ɯ n
측은지심	t͡ɕʰ ɯ ɡ ɯ ɲ d͡ʑ i ɕʰ i m
측은하다	t͡ɕʰ ɯ ɡ ɯ n ɦ a̠ d a̠
측정	t͡ɕʰ ɯ k̚ t͡ɕ͈ ʌ̹ ŋ
층	t͡ɕʰ ɯ ŋ
치	t͡ɕʰ i
치기만만	t͡ɕʰ i ɡ i m a̠ n m a̠ n
치기만만하다	t͡ɕʰ i ɡ i m a̠ n m a̠ n ɦ a̠ d a̠
치닫다	t͡ɕʰ i d a̠ t̚ t͈ a̠
치료하다	t͡ɕʰ i ɾ j o ɦ a̠ d a̠
치루다	t͡ɕʰ i ɾ u d a̠
치리	t͡ɕʰ i ɾ i
치명률	t͡ɕʰ iː m j ʌ̹ ŋ ɲ u ɭ
치수	t͡ɕʰ i sʰ u
치어리딩	t͡ɕʰ i ʌ̹ ɾ i d i ŋ
치우다	t͡ɕʰ i u d a̠
치읓	t͡ɕʰ i ɯ t̚
칙	t͡ɕʰ i k̚
친	t͡ɕʰ i n
친근	t͡ɕʰ i n ɡ ɯ n
친미	t͡ɕʰ i n m i
친지	t͡ɕʰ i ɲ d͡ʑ i
칠	t͡ɕʰ i ɭ
칠성상어	t͡ɕʰ i ɭ sʰ ʌ̹ ŋ sʰ a̠ ŋ ʌ̹
칠성장어	t͡ɕʰ i ɭ s͈ ʌ̹ ŋ d͡ʑ a̠ ŋ ʌ̹
칠엽수	t͡ɕʰ i ɾ j ʌ̹ p s͈ u
칠전팔기	t͡ɕʰ i ʎ d͡ʑ ʌ̹ n pʰ a̠ ɭ ɡ i
칠촌	t͡ɕʰ i ʎ t͡ɕʰ o̞ n
칠하다	t͡ɕʰ i ɾ ɦ a̠ d a̠
칡	t͡ɕʰ i k̚
침	t͡ɕʰ i m
침략자	t͡ɕʰ iː m ɲ a̠ k̚ t͡ɕ͈ a̠
침울	t͡ɕʰ i m u ɭ
침울하다	t͡ɕʰ i m u ɾ ɦ a̠ d a̠
침향	t͡ɕʰ i m ʝ a̠ ŋ
칩	t͡ɕʰ i p̚
칩다	t͡ɕʰ i p̚ t͈ a̠
카	kʰ a̠
카게베	kʰ a̠ ɡ e̞ b e̞
카공족	kʰ a̠ ɡ o̞ ŋ d͡ʑ o̞ k̚
카나다	kʰ a̠ n a̠ d a̠
카니발	kʰ a̠ n i b a̠ ɭ
카다	kʰ a̠ d a̠
카라반	kʰ a̠ ɾ a̠ b a̠ n
카라칼	kʰ a̠ ɾ a̠ kʰ a̠ ɭ
카레	kʰ a̠ ɾ e̞
카레라이스	kʰ a̠ ɾ e̞ ɾ a̠ i sʰ ɯ
카렌더	kʰ a̠ ɾ e̞ n d ʌ̹
카르보닐기	kʰ a̠ ɾ ɯ b o̞ n i ɭ ɡ i
카르볼린	kʰ a̠ ɾ ɯ b o̞ ʎ ʎ i n
카바졸	kʰ a̠ b a̠ d͡ʑ o̞ ɭ
카슈루트	kʰ a̠ ɕʰ u ɾ u tʰ ɯ
카인	kʰ a̠ i n
카자흐어	kʰ a̠ d͡ʑ a̠ ɣ ɯ ʌ̹
카카오톡	kʰ a̠ kʰ a̠ o̞ tʰ o̞ k̚
카탈로그	kʰ a̠ tʰ a̠ ɭ ɭ o̞ ɡ ɯ
카펠리니	kʰ a̠ pʰ e̞ ʎ ʎ i n i
카플	kʰ a̠ pʰ ɯ ɭ
칸	kʰ a̠ n
칼	kʰ a̠ ɭ
칼납자루	kʰ a̠ ɭ ɭ a̠ p̚ t͡ɕ͈ a̠ ɾ u
칼리움	kʰ a̠ ʎ ʎ i u m
캄보쟈	kʰ a̠ m b o̞ d͡ʑ a̠
캄차카	kʰ a̠ m t͡ɕʰ a̠ kʰ a̠
캄판	kʰ a̠ m pʰ a̠ n
커	kʰ ʌ̹
커닝하다	kʰ ʌ̹ n i ŋ ɦ a̠ d a̠
커엽다	kʰ ʌ̹ j ʌ̹ p̚ t͈ a̠
커피메이커	kʰ ʌ̹ pʰ i m e̞ i kʰ ʌ̹
컨닝	kʰ ʌ̹ n n i ŋ
컨닝하다	kʰ ʌ̹ n n i ŋ ɦ a̠ d a̠
컨베이어	kʰ ʌ̹ n b e̞ i ʌ̹
컨셉	kʰ ʌ̹ n sʰ e̞ p̚
컬러	kʰ ʌ̹ ɭ ɭ ʌ̹
컴터	kʰ ʌ̹ m tʰ ʌ̹
컵	kʰ ʌ̹ p̚
케밥	kʰ e̞ b a̠ p̚
케블	kʰ e̞ː b ɯ ɭ
케이팝	kʰ e̞ i pʰ a̠ p̚
케피르	kʰ e̞ pʰ i ɾ ɯ
켄트	kʰ e̞ n tʰ ɯ
켕기다	kʰ e̞ ŋ ɡ i d a̠
코	kʰ o̞
코나크리	kʰ o̞ n a̠ k x ɯ ɾ i
코네티컷	kʰ o̞ n e̞ tʰ i kʰ ʌ̹ t̚
코딩하다	kʰ o̞ d i ŋ ɦ a̠ d a̠
코주부원숭이	kʰ o̞ d͡ʑ u b u w ʌ̹ n sʰ u ŋ i
코토누	kʰ o̞ tʰ o̞ n u
코토레타	kʰ o̞ tʰ o̞ ɾ e̞ tʰ a̠
코페르니슘	kʰ o̞ pʰ e̞ ɾ ɯ n i ɕʰ u m
콘리	kʰ o̞ ʎ ʎ i
콘비프	kʰ o̞ n b i pʰ ɯ
콘센트	kʰ o̞ n sʰ e̞ n tʰ ɯ
콘스탄티노폴리스	kʰ o̞ n sʰ ɯ tʰ a̠ n tʰ i n o̞ pʰ o̞ ʎ ʎ i sʰ ɯ
콘테스트	kʰ o̞ n tʰ e̞ sʰ ɯ tʰ ɯ
콘텐츠	kʰ o̞ n tʰ e̞ ɲ t͡ɕʰ ɯ
콜	kʰ o̞ ɭ
콜로라도	kʰ o̞ ɭ ɭ o̞ ɾ a̠ d o̞
콜롬보	kʰ o̞ ɭ ɭ o̞ m b o̞
콜콜	kʰ o̞ ɭ kʰ o̞ ɭ
콤마	kʰ o̞ m m a̠
콤포트	kʰ o̞ m pʰ o̞ tʰ ɯ
콧잔등	kʰ o̞ t̚ t͡ɕ͈ a̠ n d ɯ ŋ
콩	kʰ o̞ ŋ
콩기름	kʰ o̞ ŋ ɡ i ɾ ɯ m
콩묵	kʰ o̞ ŋ m u k̚
콩밥	kʰ o̞ ŋ b a̠ p̚
콩쿠르	kʰ o̞ ŋ kʰ u ɾ ɯ
콱	kʰ w a̠ k̚
쾅	kʰ w a̠ ŋ
쿠르드어	kʰ u ɾ ɯ d ɯ ʌ̹
쿠폰	kʰ u pʰ o̞ n
쿨라크	kʰ u ɭ ɭ a̠ k x ɯ
쿨럭	kʰ u ɭ ɭ ʌ̹ k̚
쿨럭쿨럭	kʰ u ɭ ɭ ʌ̹ k̚ kʰ u ɭ ɭ ʌ̹ k̚
쿼티	kʰ w ʌ̹ tʰ i
퀘벡	kʰ w e̞ b e̞ k̚
퀴녹살린	kʰ ɥ i n o̞ k s͈ a̠ ʎ ʎ i n
퀴논	kʰ ɥ i n o̞ n
퀴놀린	kʰ ɥ i n o̞ ʎ ʎ i n
퀴륨	kʰ ɥ i ɾ j u m
퀴퍼	kʰ ɥ i pʰ ʌ̹
퀸	kʰ ɥ i n
크게	k x ɯ ɡ e̞
크레믈린	k x ɯ ɾ e̞ m ɯ ʎ ʎ i n
크레송	k x ɯ ɾ e̞ sʰ o̞ ŋ
크렘린	k x ɯ ɾ e̞ m n i n
크로아티아어	k x ɯ ɾ o̞ a̠ tʰ i a̠ ʌ̹
크루아상	k x ɯ ɾ u a̠ sʰ a̠ ŋ
크리스	k x ɯ ɾ i sʰ ɯ
크리스트	k x ɯ ɾ i sʰ ɯ tʰ ɯ
크리스트교	k x ɯ ɾ i sʰ ɯ tʰ ɯ ɡ j o
크림	k x ɯ ɾ i m
크립톤	k x ɯ ɾ i p̚ tʰ o̞ n
크메르어	k x ɯ m e̞ ɾ ɯ ʌ̹
크바르크	k x ɯ b a̠ ɾ ɯ k x ɯ
크바스	k x ɯ b a̠ sʰ ɯ
크산텐	k x ɯ sʰ a̠ n tʰ e̞ n
큰	k x ɯ n
큰가시고기	k x ɯ n ɡ a̠ ɕʰ i ɡ o̞ ɡ i
큰곰자리	k x ɯ n ɡ o̞ m d͡ʑ a̠ ɾ i
큰굿	k x ɯ n ɡ u t̚
큰귀박쥐	k x ɯ n ɡ ɥ i b a̠ k̚ t͡ɕ͈ ɥ i
큰귀상어	k x ɯ n ɡ ɥ i sʰ a̠ ŋ ʌ̹
큰납지리	k x ɯ n n a̠ p̚ t͡ɕ͈ i ɾ i
큰낫	k x ɯ n n a̠ t̚
큰논병아리	k x ɯ n n o̞ n b j ʌ̹ ŋ a̠ ɾ i
큰눈환도상어	k x ɯ n n u n β w a̠ n d o̞ sʰ a̠ ŋ ʌ̹
큰말똥가리	k x ɯ n m a̠ ɭ t͈ o̞ ŋ ɡ a̠ ɾ i
큰무당	k x ɯ n m u d a̠ ŋ
큰발뒤쥐	k x ɯ n b a̠ ɭ d ɥ i d͡ʑ ɥ i
큰볏말뚝망둥어	k x ɯ n b j ʌ̹ n m a̠ ɭ t͈ u ŋ m a̠ ŋ d u ŋ ʌ̹
큰비	k x ɯ n b i
큰소리치다	k x ɯ n sʰ o̞ ɾ i t͡ɕʰ i d a̠
큰입우럭	k x ɯ n i b u ɾ ʌ̹ k̚
큰줄납자루	k x ɯ ɲ d͡ʑ u ɭ ɭ a̠ p̚ t͡ɕ͈ a̠ ɾ u
큰집박쥐	k x ɯ ɲ d͡ʑ i p̚ p͈ a̠ k̚ t͡ɕ͈ ɥ i
큰철갑상어	k x ɯ ɲ t͡ɕʰ ʌ̹ ɭ ɡ a̠ p s͈ a̠ ŋ ʌ̹
큰첨서	k x ɯ ɲ t͡ɕʰ ʌ̹ m sʰ ʌ̹
큰흰죽지	k x ɯ n ʝ i ɲ d͡ʑ u k̚ t͡ɕ͈ i
클락션	k x ɯ ɭ ɭ a̠ k ɕ͈ ʌ̹ n
클로로포름	k x ɯ ɭ ɭ o̞ ɾ o̞ pʰ o̞ ɾ ɯ m
클리토리스	k x ɯ ʎ ʎ i tʰ o̞ ɾ i sʰ ɯ
클릭하다	k x ɯ ʎ ʎ i kʰ a̠ d a̠
클마니	k x ɯ ɭ m a̠ n i
타	tʰ a̠
타갈로그어	tʰ a̠ ɡ a̠ ɭ ɭ o̞ ɡ ɯ ʌ̹
타격수	tʰ a̠ː ɡ j ʌ̹ k s͈ u
타결	tʰ a̠ː ɡ j ʌ̹ ɭ
타나토스	tʰ a̠ n a̠ tʰ o̞ sʰ ɯ
타는곳	tʰ a̠ n ɯ n ɡ o̞ t̚
타달타달	tʰ a̠ d a̠ ɭ tʰ a̠ d a̠ ɭ
타당	tʰ a̠ d a̠ ŋ
타당하다	tʰ a̠ː d a̠ ŋ ɦ a̠ d a̠
타동사	tʰ a̠ d o̞ ŋ sʰ a̠
타령	tʰ a̠ː ɾ j ʌ̹ ŋ
타살	tʰ a̠ sʰ a̠ ɭ
타석	tʰ a̠ː sʰ ʌ̹ k̚
타수	tʰ a̠ː sʰ u
타월	tʰ a̠ w ʌ̹ ɭ
타인	tʰ a̠ i n
타임아웃	tʰ a̠ i m a̠ u t̚
타자하다	tʰ a̠ː d͡ʑ a̠ ɦ a̠ d a̠
타코마	tʰ a̠ kʰ o̞ m a̠
탁	tʰ a̠ k̚
탁상공론	tʰ a̠ k s͈ a̠ ŋ ɡ o̞ ŋ n o̞ n
탁월하다	tʰ a̠ ɡ w ʌ̹ ɾ ɦ a̠ d a̠
탄두	tʰ a̠ː n d u
탄원	tʰ a̠ː n w ʌ̹ n
탄원하다	tʰ a̠ː n w ʌ̹ n ɦ a̠ d a̠
탄창	tʰ a̠ ɲ t͡ɕʰ a̠ ŋ
탄탈럼	tʰ a̠ n tʰ a̠ ɭ ɭ ʌ̹ m
탄트라	tʰ a̠ n tʰ ɯ ɾ a̠
탄환열차	tʰ a̠ː n β w a̠ ɲ ʌ̹ ʎ t͡ɕʰ a̠
탈	tʰ a̠ ɭ
탈것	tʰ a̠ ɭ k͈ ʌ̹ t̚
탈구	tʰ a̠ ɭ ɡ u
탈덕	tʰ a̠ ɭ d ʌ̹ k̚
탈덕하다	tʰ a̠ ɭ d ʌ̹ kʰ a̠ d a̠
탈리에리니	tʰ a̠ ʎ ʎ i e̞ ɾ i n i
탈북	tʰ a̠ ɭ b u k̚
탈세	tʰ a̠ ɭ s͈ e̞
탈세하다	tʰ a̠ ɭ s͈ e̞ ɦ a̠ d a̠
탈영	tʰ a̠ ɾ j ʌ̹ ŋ
탈영하다	tʰ a̠ ɾ j ʌ̹ ŋ ɦ a̠ d a̠
탈조선	tʰ a̠ ʎ d͡ʑ o̞ sʰ ʌ̹ n
탈주자	tʰ a̠ ʎ t͡ɕ͈ u d͡ʑ a̠
탈출하다	tʰ a̠ ʎ t͡ɕʰ u ɾ ɦ a̠ d a̠
탈취제	tʰ a̠ ʎ t͡ɕʰ ɥ i d͡ʑ e̞
탐	tʰ a̠ m
탐관오리	tʰ a̠ m ɡ w a̠ n o̞ ɾ i
탐라국	tʰ a̠ m n a̠ ɡ u k̚
탐조	tʰ a̠ m d͡ʑ o̞
탐험하다	tʰ a̠ m ɦ ʌ̹ m ɦ a̠ d a̠
탑	tʰ a̠ p̚
탑쎄기	tʰ a̠ p s͈ e̞ ɡ i
탑파	tʰ a̠ p̚ pʰ a̠
탓	tʰ a̠ t̚
탕	tʰ a̠ː ŋ
탕위안	tʰ a̠ ŋ ɥ i a̠ n
탕자	tʰ a̠ː ŋ d͡ʑ a̠
터	tʰ ʌ̹
터럭	tʰ ʌ̹ ɾ ʌ̹ k̚
터부	tʰ ʌ̹ b u
터부시되다	tʰ ʌ̹ b u ɕʰ i d w e̞ d a̠
터부시하다	tʰ ʌ̹ b u ɕʰ i ɦ a̠ d a̠
터븀	tʰ ʌ̹ b j u m
터울	tʰ ʌ̹ u ɭ
턱	tʰ ʌ̹ k̚
턱무없다	tʰ ʌ̹ ŋ m u ʌ̹ p̚ t͈ a̠
털	tʰ ʌ̹ ɭ
털부처꽃	tʰ ʌ̹ ɭ b u t͡ɕʰ ʌ̹ k͈ o̞ t̚
털실	tʰ ʌ̹ ɭ ɕʰ i ɭ
테	tʰ e̞
테구시갈파	tʰ e̞ ɡ u ɕʰ i ɡ a̠ ɭ pʰ a̠
테네시	tʰ e̞ n e̞ ɕ͈ i
테네신	tʰ e̞ n e̞ ɕʰ i n
테니시	tʰ e̞ n i ɕ͈ i
테오도시우스	tʰ e̞ o̞ d o̞ ɕʰ i u sʰ ɯ
테제	tʰ e̞ d͡ʑ e̞
테크	tʰ e̞ k x ɯ
텍사스	tʰ e̞ k s͈ a̠ s͈ ɯ
텐션	tʰ e̞ n ɕʰ ʌ̹ n
텔레비죤	tʰ e̞ ɭ ɭ e̞ b i d͡ʑ o̞ n
텔레타이프	tʰ e̞ ɭ ɭ e̞ tʰ a̠ i pʰ ɯ
텔루륨	tʰ e̞ ɭ ɭ u ɾ j u m
텔펜	tʰ e̞ ɭ pʰ e̞ n
토	tʰ o̞
토기	tʰ o̞ ɡ i
토끼몰이	tʰ o̞ k͈ i m o̞ ɾ i
토끼박쥐	tʰ o̞ k͈ i b a̠ k̚ t͡ɕ͈ ɥ i
토너먼트	tʰ o̞ n ʌ̹ m ʌ̹ n tʰ ɯ
토록	tʰ o̞ ɾ o̞ k̚
토론하다	tʰ o̞ː ɾ o̞ n ɦ a̠ d a̠
토론회	tʰ o̞ː ɾ o̞ n β w e̞
토루	tʰ o̞ ɾ u
토르텔로니	tʰ o̞ ɾ ɯ tʰ e̞ ɭ ɭ o̞ n i
토르텔리니	tʰ o̞ ɾ ɯ tʰ e̞ ʎ ʎ i n i
토막	tʰ o̞ m a̠ k̚
토이기	tʰ o̞ i ɡ i
토이기어	tʰ o̞ i ɡ i ʌ̹
토치카	tʰ o̞ t͡ɕʰ i kʰ a̠
토하다	tʰ o̞ː ɦ a̠ d a̠
토혈	tʰ o̞ː ʝ ʌ̹ ɭ
토후국	tʰ o̞ β u ɡ u k̚
톤	tʰ o̞ n
톨	tʰ o̞ ɭ
톱	tʰ o̞ p̚
톱날꽃게	tʰ o̞ m n a̠ ɭ k͈ o̞ t̚ k͈ e̞
